elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
3.25212,1.92547,0.962734,0.962734,0,0.962734
3.30464,4.51517,2.25759,1.61016,0.647426,2.25759
3.35219,1.99366,0.996828,1.40572,0.602524,2.25759
3.40654,6.36744,3.18372,1.85022,0.930065,3.18372
3.45202,1.86586,0.932932,1.66676,0.909199,3.18372
3.50808,7.83277,3.91638,2.0417,1.17973,3.91638
3.55217,1.98865,0.994325,1.89207,1.15207,3.91638
3.60199,1.87445,0.937223,1.77272,1.12298,3.91638
3.65303,2.87342,1.43671,1.73538,1.064,3.91638
3.70213,1.84464,0.922322,1.65408,1.03846,3.91638
3.75408,3.90673,1.95336,1.68128,0.99386,3.91638
3.80206,1.94192,0.97096,1.62209,0.97159,3.91638
3.85701,6.84333,3.42166,1.76052,1.04944,3.91638
3.90211,1.93262,0.966311,1.70379,1.03174,3.91638
3.95866,8.43191,4.21596,1.87127,1.17737,4.21596
4.00212,2.00224,1.00112,1.81688,1.15928,4.21596
4.05214,1.91212,0.956059,1.76625,1.14276,4.21596
4.10372,3.57175,1.78587,1.76734,1.11058,4.21596
4.15208,1.96838,0.984192,1.72612,1.09501,4.21596
4.2066,6.36816,3.18408,1.79902,1.11358,4.21596
4.25206,1.89519,0.947595,1.75847,1.10176,4.21596
4.30813,7.95388,3.97694,1.85931,1.17143,4.21596
4.35195,1.81961,0.909805,1.81803,1.16193,4.21596
4.40929,9.12738,4.56369,1.93243,1.26287,4.56369
4.4529,2.73323,1.36662,1.9098,1.24232,4.56369
4.50199,1.8785,0.93925,1.87247,1.23241,4.56369
4.55422,4.03619,2.01809,1.87786,1.20968,4.56369
4.60197,1.78647,0.893235,1.8427,1.20186,4.56369
4.6561,5.89752,2.94876,1.88084,1.19807,4.56369
4.70207,1.90067,0.950336,1.84982,1.18972,4.56369
4.75831,8.06928,4.03464,1.9203,1.23239,4.56369
4.80201,1.84059,0.920296,1.88905,1.2254,4.56369
4.85211,1.97005,0.985026,1.86166,1.2166,4.56369
