elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
6.75477,4.58455,2.29228,2.29228,0,2.29228
6.80378,3.56984,1.78492,2.0386,0.253677,2.29228
6.85385,3.62802,1.81401,1.96373,0.232617,2.29228
6.90365,3.39532,1.69766,1.89722,0.232071,2.29228
6.95453,4.34279,2.1714,1.95205,0.234763,2.29228
7.00408,3.87168,1.93584,1.94935,0.214394,2.29228
7.05387,3.66664,1.83332,1.93277,0.2026,2.29228
7.1037,3.51858,1.75929,1.91109,0.19801,2.29228
7.15398,3.69859,1.84929,1.90422,0.187693,2.29228
7.20574,5.47814,2.73907,1.98771,0.3073,2.73907
7.25396,3.75319,1.87659,1.97761,0.294735,2.73907
7.30382,3.64423,1.82211,1.96465,0.285441,2.73907
7.35367,3.48258,1.74129,1.94747,0.280627,2.73907
7.40448,4.19402,2.09701,1.95815,0.273148,2.73907
7.45474,4.45342,2.22671,1.97605,0.272256,2.73907
7.50377,3.49975,1.74987,1.96192,0.269237,2.73907
7.55378,3.58319,1.7916,1.9519,0.264254,2.73907
7.60373,3.54958,1.77479,1.94206,0.259994,2.73907
7.65397,3.69096,1.84548,1.93698,0.253977,2.73907
7.70213,1.89281,0.946403,1.88745,0.328462,2.73907
7.75213,1.91522,0.957608,1.84317,0.376777,2.73907
7.80418,4.03237,2.01619,1.85103,0.369874,2.73907
7.85358,3.41702,1.70851,1.84484,0.36291,2.73907
7.90368,3.42107,1.71053,1.83924,0.356281,2.73907
7.95445,4.17113,2.08557,1.84909,0.352404,2.73907
8.00433,4.00019,2.00009,1.8549,0.346779,2.73907
8.05375,3.53312,1.76656,1.85163,0.340705,2.73907
8.10367,3.4709,1.73545,1.84748,0.33526,2.73907
8.15367,3.46851,1.73426,1.84358,0.330076,2.73907
8.20448,4.19021,2.0951,1.85196,0.327654,2.73907
8.25431,4.13251,2.06625,1.85887,0.324542,2.73907
8.30388,3.68142,1.84071,1.85831,0.319446,2.73907
8.35377,3.51715,1.75858,1.85528,0.315033,2.73907
8.40468,4.40192,2.20096,1.86545,0.315813,2.73907
8.45546,5.23162,2.61581,1.88689,0.335433,2.73907
8.50373,3.50666,1.75333,1.88318,0.331469,2.73907
8.55382,3.61466,1.80733,1.88113,0.32719,2.73907
8.60439,4.13704,2.06852,1.88606,0.324247,2.73907
8.65494,4.72474,2.36237,1.89827,0.328798,2.73907
8.70383,3.58558,1.79279,1.89564,0.32508,2.73907
8.75367,3.4759,1.73795,1.89179,0.322011,2.73907
8.80477,4.49491,2.24745,1.90026,0.322742,2.73907
8.85451,4.282,2.141,1.90586,0.321024,2.73907
8.90376,3.54123,1.77062,1.90278,0.317995,2.73907
8.95371,3.52478,1.76239,1.89966,0.315122,2.73907
9.0036,3.41582,1.70791,1.8955,0.31293,2.73907
9.05467,4.38356,2.19178,1.9018,0.312521,2.73907
9.10426,4.04906,2.02453,1.90436,0.309745,2.73907
9.15379,3.57318,1.78659,1.90195,0.30702,2.73907
9.20367,3.44181,1.72091,1.89833,0.304989,2.73907
9.25426,3.97205,1.98603,1.90005,0.302229,2.73907
9.30451,4.2448,2.1224,1.90433,0.300863,2.73907
9.35357,3.36003,1.68002,1.90009,0.299569,2.73907
9.40372,3.4945,1.74725,1.89726,0.297497,2.73907
9.45373,3.50142,1.75071,1.8946,0.29543,2.73907
9.50465,4.39572,2.19786,1.90002,0.295522,2.73907
9.55437,4.10652,2.05326,1.9027,0.293608,2.73907
9.60381,3.51596,1.75798,1.90021,0.291675,2.73907
9.65371,3.3896,1.6948,1.89673,0.290406,2.73907
9.70386,3.57699,1.7885,1.89492,0.288309,2.73907
9.75453,4.33302,2.16651,1.89938,0.288008,2.73907
9.80447,4.18329,2.09165,1.90248,0.286701,2.73907
9.85394,3.65162,1.82581,1.90126,0.284578,2.73907
9.90361,3.43037,1.71518,1.89835,0.283287,2.73907
9.95378,3.49879,1.7494,1.89606,0.281697,2.73907
10.0044,4.12488,2.06244,1.89858,0.280292,2.73907
10.0539,3.64089,1.82045,1.89742,0.278354,2.73907
10.1036,3.40056,1.70028,1.89452,0.277317,2.73907
10.1538,3.51143,1.75571,1.8925,0.275799,2.73907
10.2051,4.83584,2.41792,1.90001,0.280831,2.73907
10.2545,4.20594,2.10297,1.90287,0.27987,2.73907
10.3037,3.49927,1.74963,1.90074,0.278498,2.73907
10.3536,3.36289,1.68145,1.89774,0.277756,2.73907
10.4037,3.39866,1.69933,1.89506,0.276822,2.73907
10.4549,4.62604,2.31302,1.90063,0.279118,2.73907
10.5039,3.69287,1.84643,1.89992,0.277344,2.73907
10.5538,3.55124,1.77562,1.8983,0.275897,2.73907
10.6037,3.54075,1.77038,1.89666,0.2745,2.73907
10.6538,3.53765,1.76883,1.89504,0.273131,2.73907
10.7043,4.04716,2.02358,1.89665,0.271794,2.73907
10.7539,3.59297,1.79648,1.89541,0.270338,2.73907
10.8037,3.44706,1.72353,1.89332,0.269346,2.73907
10.8537,3.46708,1.73354,1.89139,0.268285,2.73907
10.9057,5.51319,2.7566,1.90169,0.282711,2.7566
10.9545,4.25172,2.12586,1.90433,0.282081,2.7566
11.0038,3.54528,1.77264,1.9028,0.280791,2.7566
11.0538,3.59917,1.79958,1.90161,0.279389,2.7566
11.1038,3.57842,1.78921,1.90033,0.278053,2.7566
11.1526,2.4004,1.2002,1.89247,0.286165,2.7566
11.2039,3.69263,1.84631,1.89195,0.284612,2.7566
11.2538,3.6068,1.8034,1.89098,0.283194,2.7566
11.3051,4.9088,2.4544,1.89711,0.287646,2.7566
11.3537,3.53646,1.76823,1.89572,0.286404,2.7566
11.4037,3.54409,1.77205,1.8944,0.285159,2.7566
11.4537,3.49879,1.7494,1.89288,0.28404,2.7566
11.5044,4.26936,2.13468,1.8954,0.283621,2.7566
11.5539,3.67308,1.83654,1.89479,0.282218,2.7566
11.6037,3.49545,1.74773,1.89329,0.281163,2.7566
11.6537,3.49784,1.74892,1.89183,0.280112,2.7566
11.7053,5.0776,2.5388,1.8983,0.286045,2.7566
11.7549,4.70543,2.35271,1.9028,0.28816,2.73907
11.8038,3.57533,1.78766,1.90167,0.286968,2.73907
11.8538,3.51691,1.75846,1.90028,0.285916,2.73907
11.9037,3.52287,1.76144,1.89895,0.284861,2.73907
11.9564,6.18505,3.09253,1.91031,0.306287,2.7566
12.0039,3.68524,1.84262,1.90967,0.304909,2.7566
12.0538,3.54028,1.77014,1.90837,0.303778,2.7566
12.1038,3.52001,1.76001,1.907,0.302702,2.7566
12.1548,4.55666,2.27833,1.9104,0.303383,2.7566
12.2038,3.54505,1.77252,1.90915,0.302284,2.7566
12.2537,3.54147,1.77073,1.9079,0.301203,2.7566
12.3037,3.46398,1.73199,1.90633,0.300312,2.7566
12.3545,4.26126,2.13063,1.90832,0.299717,2.7566
12.4044,4.19044,2.09522,1.90996,0.298908,2.7566
12.4537,3.55983,1.77991,1.90883,0.297851,2.7566
12.5036,3.38364,1.69182,1.90696,0.297242,2.7566
12.5537,3.45325,1.72663,1.90541,0.296434,2.7566
12.6042,3.97086,1.98543,1.90609,0.295266,2.7566
12.6536,3.40676,1.70338,1.90439,0.294605,2.7566
12.7037,3.53003,1.76501,1.90323,0.293648,2.7566
12.7538,3.56364,1.78182,1.90222,0.292639,2.7566
12.8052,5.01823,2.50912,1.9072,0.29653,2.7566
12.8544,4.1883,2.09415,1.90872,0.295799,2.7566
12.9038,3.58796,1.79398,1.90779,0.294782,2.7566
12.9539,3.70646,1.85323,1.90736,0.293641,2.7566
13.0049,4.69232,2.34616,1.91084,0.295054,2.7566
13.0538,3.65949,1.82974,1.9102,0.293977,2.7566
13.1037,3.48902,1.74451,1.90891,0.29319,2.7566
13.1538,3.56221,1.78111,1.90792,0.292266,2.7566
13.205,4.74787,2.37393,1.9115,0.293973,2.7566
13.2544,4.14133,2.07067,1.91271,0.293176,2.7566
13.3038,3.65162,1.82581,1.91206,0.292161,2.7566
13.3537,3.49998,1.74999,1.91084,0.291397,2.7566
13.405,4.83036,2.41518,1.9146,0.293534,2.7566
13.4541,3.88217,1.94108,1.9148,0.292454,2.7566
13.5037,3.46422,1.73211,1.91345,0.291795,2.7566
13.5537,3.5162,1.7581,1.91232,0.291028,2.7566
13.6044,4.16088,2.08044,1.91354,0.290322,2.7566
13.6546,4.34566,2.17283,1.9154,0.290105,2.7566
13.7038,3.59344,1.79672,1.91456,0.28924,2.7566
13.7538,3.59297,1.79648,1.91372,0.288382,2.7566
13.8048,4.51756,2.25878,1.91615,0.28881,2.7566
13.8542,3.95131,1.97566,1.91657,0.287841,2.7566
13.9038,3.62992,1.81496,1.91586,0.286964,2.7566
13.9537,3.52955,1.76477,1.91482,0.286246,2.7566
14.0045,4.28295,2.14148,1.91637,0.285876,2.7566
14.055,4.86016,2.43008,1.91986,0.288014,2.7566
14.1036,3.42155,1.71077,1.91845,0.28755,2.7566
14.1537,3.50261,1.7513,1.91733,0.286908,2.7566
14.2043,4.04119,2.0206,1.91802,0.286074,2.7566
14.2549,4.65894,2.32947,1.92074,0.287072,2.7566
14.304,3.60465,1.80233,1.91996,0.286286,2.7566
14.3538,3.53336,1.76668,1.91896,0.285616,2.7566
