elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
6.7538,3.54385,1.77193,1.77193,0,1.77193
6.80409,3.85928,1.92964,1.85078,0.0788569,1.92964
6.8537,3.46303,1.73151,1.81103,0.0854795,1.92964
6.902,1.84226,0.92113,1.58855,0.392383,1.92964
6.95382,3.67475,1.83737,1.63832,0.364798,1.92964
7.00508,4.98462,2.49231,1.78065,0.460641,2.49231
7.05522,5.03492,2.51746,1.88591,0.498351,2.51746
7.10365,3.46661,1.7333,1.86683,0.468889,2.51746
7.15358,3.40176,1.70088,1.84839,0.445138,2.51746
7.20369,3.46398,1.73199,1.83675,0.423737,2.51746
7.25437,4.12202,2.06101,1.85714,0.409128,2.51746
7.30383,3.62682,1.81341,1.8535,0.391897,2.51746
7.35368,3.46589,1.73295,1.84422,0.37789,2.51746
7.40385,3.55887,1.77944,1.8396,0.364526,2.51746
7.45528,5.06043,2.53022,1.88564,0.392044,2.53022
7.50407,3.87621,1.9381,1.88892,0.379807,2.53022
7.55367,3.45445,1.72722,1.8794,0.370426,2.53022
7.60377,3.55268,1.77634,1.87368,0.360763,2.53022
7.65377,3.49379,1.74689,1.86701,0.35228,2.53022
7.70428,4.00519,2.0026,1.87379,0.344629,2.53022
7.75374,3.53098,1.76549,1.86863,0.337114,2.53022
7.80377,3.55268,1.77634,1.86443,0.329923,2.53022
7.85382,3.48282,1.74141,1.85908,0.323645,2.53022
7.90474,4.48203,2.24102,1.875,0.325893,2.53022
7.95382,3.61395,1.80697,1.87228,0.319587,2.53022
8.00375,3.52097,1.76048,1.86798,0.314118,2.53022
8.05386,3.51167,1.75583,1.86382,0.308972,2.53022
8.10653,6.21414,3.10707,1.90823,0.381163,3.10707
8.15474,4.53496,2.26748,1.92061,0.380227,3.10707
8.20372,3.50189,1.75095,1.91496,0.375075,3.10707
8.25367,3.43609,1.71804,1.90861,0.370612,3.10707
8.30383,3.58915,1.79458,1.90504,0.365314,3.10707
8.35469,4.44365,2.22182,1.91464,0.363812,3.10707
8.40373,3.51739,1.75869,1.91006,0.359389,3.10707
8.45363,3.39603,1.69802,1.904,0.355975,3.10707
8.50363,3.371,1.6855,1.89793,0.352828,3.10707
8.55601,5.76305,2.88153,1.92451,0.382837,3.10707
8.60414,3.93629,1.96815,1.92566,0.377831,3.10707
8.65364,3.43561,1.71781,1.92033,0.374399,3.10707
8.70379,3.48186,1.74093,1.91585,0.370749,3.10707
8.7537,3.4492,1.7246,1.91118,0.367386,3.10707
8.80553,5.30338,2.65169,1.92881,0.380137,3.10707
8.85457,4.37021,2.18511,1.93477,0.377672,3.10707
8.90363,3.43633,1.71816,1.92985,0.374748,3.10707
8.95373,3.47018,1.73509,1.92552,0.371671,3.10707
9.00551,5.25117,2.62558,1.94074,0.381522,3.10707
9.05509,4.88687,2.44343,1.95144,0.384349,3.10707
9.10379,3.57819,1.78909,1.94805,0.381031,3.10707
9.15383,3.54362,1.77181,1.94446,0.377945,3.10707
9.20386,3.58415,1.79207,1.94141,0.374754,3.10707
9.25665,6.40273,3.20137,1.96611,0.410127,3.20137
9.30491,4.66919,2.33459,1.9732,0.409304,3.20137
9.35384,3.60084,1.80042,1.96994,0.406106,3.20137
9.40372,3.45564,1.72782,1.96546,0.40365,3.20137
9.45623,5.96428,2.98214,1.98394,0.422401,3.20137
9.50535,5.15246,2.57623,1.99452,0.425898,3.20137
9.55396,3.71599,1.858,1.99212,0.422526,3.20137
9.60636,6.10495,3.05247,2.01041,0.441023,3.20137
9.65391,3.70789,1.85394,2.00775,0.437735,3.20137
9.70375,3.54481,1.7724,2.00383,0.435117,3.20137
9.75532,5.02276,2.51138,2.01215,0.436322,3.20137
9.80367,3.44992,1.72496,2.00752,0.434298,3.20137
9.85371,3.48902,1.74451,2.00334,0.43209,3.20137
9.90526,5.00894,2.50447,2.01117,0.433182,3.20137
9.95381,3.62015,1.81007,2.00808,0.430549,3.20137
10.0059,5.59545,2.79772,2.02004,0.438028,3.20137
