elapsed_seconds,rtt_ms,one_way_latency_ms,average_ms,jitter_ms,p99_ms
2.35165,1.57428,0.787139,0.787139,0,0.787139
2.4042,4.02546,2.01273,1.39993,0.612795,2.01273
2.45193,1.81746,0.908732,1.2362,0.551328,2.01273
2.50604,5.72634,2.86317,1.64294,0.851052,2.86317
2.5518,1.6706,0.835299,1.48141,0.826921,2.86317
2.60569,5.47981,2.73991,1.69116,0.888709,2.86317
2.65181,1.68872,0.844359,1.57019,0.874517,2.86317
2.7034,3.17025,1.58513,1.57206,0.818051,2.86317
2.75199,1.79815,0.899076,1.49728,0.799739,2.86317
2.80383,3.65472,1.82736,1.53029,0.765134,2.86317
2.85198,1.80817,0.904083,1.47336,0.75141,2.86317
2.90502,4.85325,2.42662,1.5528,0.766146,2.86317
2.952,1.79362,0.896811,1.50234,0.75656,2.86317
3.00376,3.44896,1.72448,1.51821,0.731281,2.86317
3.05193,1.7252,0.862598,1.4745,0.725165,2.86317
3.10308,2.88129,1.44064,1.47238,0.702186,2.86317
3.15193,1.6849,0.842452,1.43533,0.697159,2.86317
3.20271,2.49076,1.24538,1.42478,0.678912,2.86317
3.25197,1.76549,0.882745,1.39625,0.671798,2.86317
3.30256,2.39515,1.19758,1.38631,0.656217,2.86317
3.35202,1.80531,0.902653,1.36328,0.648633,2.86317
3.40245,2.28214,1.14107,1.35318,0.635408,2.86317
3.45195,1.75428,0.877142,1.33249,0.628978,2.86317
3.50267,2.5003,1.25015,1.32905,0.615955,2.86317
3.5519,1.77145,0.885725,1.31132,0.609731,2.86317
3.60283,2.69365,1.34683,1.31269,0.597929,2.86317
3.65223,1.90616,0.953078,1.29937,0.590669,2.86317
3.70256,2.39158,1.19579,1.29567,0.580344,2.86317
3.75196,1.76835,0.884175,1.28148,0.575172,2.86317
3.80263,2.49624,1.24812,1.28037,0.565536,2.86317
3.85241,2.24161,1.12081,1.27522,0.557054,2.86317
3.90199,1.82748,0.913739,1.26392,0.551876,2.86317
3.95249,2.31814,1.15907,1.26075,0.543747,2.86317
4.00216,2.04515,1.02258,1.25374,0.537201,2.86317
4.05286,2.64144,1.32072,1.25566,0.529588,2.86317
4.10197,1.77717,0.888586,1.24546,0.525654,2.86317
4.15299,2.73752,1.36876,1.24879,0.518887,2.86317
4.20189,1.76597,0.882983,1.23916,0.515352,2.86317
4.25314,2.98071,1.49035,1.24561,0.510249,2.86317
4.30201,1.84798,0.923991,1.23757,0.506326,2.86317
4.35326,3.08084,1.54042,1.24495,0.502291,2.86317
4.40197,1.79005,0.895023,1.23662,0.499134,2.86317
4.45316,2.9614,1.4807,1.2423,0.494666,2.86317
4.50193,1.76072,0.880361,1.23407,0.491978,2.86317
4.55301,2.87795,1.43898,1.23862,0.487418,2.86317
4.60201,1.82009,0.910044,1.23148,0.484466,2.86317
4.65328,3.00479,1.50239,1.23725,0.480876,2.86317
4.70191,1.76358,0.881791,1.22984,0.478542,2.86317
4.75333,3.20005,1.60003,1.23739,0.476517,2.86317
4.80196,1.82033,0.910163,1.23085,0.473947,2.86317
4.85323,3.04341,1.52171,1.23655,0.471007,2.86317
4.90204,1.80459,0.902295,1.23013,0.468709,2.86317
4.95342,3.20935,1.60468,1.23719,0.467055,2.86317
5.00206,1.88637,0.943184,1.23175,0.464405,2.86317
5.05343,3.19362,1.59681,1.23839,0.462741,2.86317
5.10206,1.84011,0.920057,1.2327,0.460525,2.86317
5.15332,3.08704,1.54352,1.23815,0.458287,2.86317
5.20207,1.94764,0.973821,1.2336,0.455621,2.86317
5.25369,3.5038,1.7519,1.24238,0.45667,2.86317
5.30194,1.79887,0.899434,1.23667,0.454972,2.86317
